PassengerId,Survived,Pclass,Sex,Age,Company,Fare,Cabin,Embarked,Title
90,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
91,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
92,0,3,male,Child,Alone,2.180891922715322,M,S,Mr
93,0,1,male,Adult,Family,4.1299529896894684,Other,S,Mr
94,0,3,male,Young Adult,Family,3.0715352369694915,M,S,Mr
95,0,3,male,Adult,Alone,2.1102132003465894,M,S,Mr
96,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
97,0,1,male,Senior,Alone,3.57386695198272,Other,C,Mr
98,1,1,male,Young Adult,Family,4.164465907853638,Other,C,Mr
99,1,2,female,Adult,Family,3.1780538303479458,M,S,Mrs
100,0,2,male,Adult,Family,3.295836866004329,M,S,Mr
101,0,3,female,Young Adult,Alone,2.1855792552411137,M,S,Miss
102,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
103,0,1,male,Young Adult,Family,4.360387947851531,Other,S,Mr
104,0,3,male,Adult,Alone,2.267393053825037,M,S,Mr
105,0,3,male,Adult,Family,2.188856327665703,M,S,Mr
106,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
107,1,3,female,Young Adult,Alone,2.157559320943788,M,S,Miss
108,1,3,male,Young Adult,Alone,2.1719067693519296,M,S,Mr
109,0,3,male,Adult,Alone,2.1855792552411137,M,S,Mr
110,1,3,female,Young Adult,Family,3.224857896545748,M,Q,Miss
111,0,1,male,Adult,Alone,3.970291913552122,Other,S,Mr
112,0,3,female,Child,Family,2.737880811060884,M,C,Miss
113,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
114,0,3,female,Child,Family,2.3818582738885534,M,S,Miss
115,0,3,female,Child,Alone,2.738146075922933,M,C,Miss
116,0,3,male,Young Adult,Alone,2.188856327665703,M,S,Mr
117,0,3,male,Senior,Alone,2.169053700369523,M,Q,Mr
118,0,2,male,Young Adult,Family,3.091042453358316,M,S,Mr
119,0,1,male,Young Adult,Family,5.515526544247129,Other,C,Mr
120,0,3,female,Infant,Family,3.4742929367327062,M,S,Miss
121,0,2,male,Young Adult,Family,4.310799125385514,M,S,Mr
122,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
123,0,2,male,Adult,Family,3.436268471383741,M,C,Mr
124,1,2,female,Adult,Alone,2.6390573296152584,Other,S,Miss
125,0,1,male,Adult,Family,4.360387947851531,Other,S,Mr
126,1,3,male,Child,Family,2.5048481563289,M,C,Master
127,0,3,male,Young Adult,Alone,2.169053700369523,M,Q,Mr
128,1,3,male,Young Adult,Alone,2.0969990034181696,M,S,Mr
129,1,3,female,Young Adult,Family,3.1509523813392697,Other,C,Miss
130,0,3,male,Adult,Alone,2.076311648670908,M,S,Mr
131,0,3,male,Adult,Alone,2.1855792552411137,M,C,Mr
132,0,3,male,Child,Alone,2.0856720914304723,M,S,Mr
133,0,3,female,Adult,Family,2.740840023925201,M,S,Mrs
134,1,2,female,Young Adult,Family,3.295836866004329,M,S,Mrs
135,0,2,male,Young Adult,Alone,2.6390573296152584,M,S,Mr
136,0,2,male,Young Adult,Alone,2.775447133088262,M,C,Mr
137,1,1,female,Child,Family,3.3062747934011893,Other,S,Miss
138,0,1,male,Adult,Family,3.9908341858524357,Other,S,Mr
139,0,3,male,Child,Alone,2.3240236363515288,M,S,Mr
140,0,1,male,Young Adult,Alone,4.384523514872469,Other,C,Mr
141,0,3,female,Young Adult,Family,2.7878344138303452,M,C,Mrs
142,1,3,female,Young Adult,Alone,2.169053700369523,M,S,Miss
143,1,3,female,Young Adult,Family,2.8243506567983707,M,S,Mrs
144,0,3,male,Child,Alone,2.0476928433652555,M,Q,Mr
145,0,2,male,Child,Alone,2.5257286443082556,M,S,Mr
146,0,2,male,Child,Family,3.6309854756950335,M,S,Mr
147,1,3,male,Young Adult,Alone,2.174274334826008,M,S,Mr
148,0,3,female,Child,Family,3.5660053559634015,M,S,Miss
149,0,2,male,Adult,Family,3.295836866004329,Other,S,Mr
150,0,2,male,Adult,Alone,2.6390573296152584,M,S,Other
151,0,2,male,Adult,Alone,2.6045398247325453,M,S,Other
152,1,1,female,Young Adult,Family,4.213607983048918,Other,S,Mrs
153,0,3,male,Adult,Alone,2.2027647577118348,M,S,Mr
154,0,3,male,Adult,Family,2.740840023925201,M,S,Mr
155,0,3,male,Young Adult,Alone,2.1177604059819726,M,S,Mr
156,0,1,male,Adult,Family,4.133231886474144,M,C,Mr
157,1,3,female,Child,Alone,2.167143305297764,M,Q,Miss
158,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
159,0,3,male,Young Adult,Alone,2.2682524139135403,M,S,Mr
160,0,3,male,Young Adult,Family,4.256321678298823,M,S,Master
161,0,3,male,Adult,Family,2.8390784635086144,M,S,Mr
162,1,2,female,Adult,Alone,2.8183982582710754,M,S,Mrs
163,0,3,male,Young Adult,Alone,2.1719067693519296,M,S,Mr
164,0,3,male,Child,Alone,2.2682524139135403,M,S,Mr
165,0,3,male,Infant,Family,3.705920919968788,M,S,Master
166,1,3,male,Child,Family,3.0692150503137943,M,S,Master
167,1,1,female,Young Adult,Family,4.02535169073515,Other,S,Mrs
168,0,3,female,Adult,Family,3.3638415951183864,M,S,Mrs
169,0,1,male,Young Adult,Alone,3.2930552230424524,M,S,Mr
170,0,3,male,Young Adult,Alone,4.05171190165724,M,S,Mr
171,0,1,male,Adult,Alone,3.5409593240373143,Other,S,Mr
172,0,3,male,Infant,Family,3.405355391810819,M,Q,Master
173,1,3,female,Infant,Family,2.495953738718064,M,S,Miss
174,0,3,male,Young Adult,Alone,2.188856327665703,M,S,Mr
175,0,1,male,Adult,Alone,3.4561841799918147,Other,C,Mr
176,0,3,male,Child,Family,2.180891922715322,M,S,Mr
177,0,3,male,Young Adult,Family,3.275887339030031,M,S,Master
178,0,1,female,Adult,Alone,3.391567832686312,Other,C,Miss
179,0,2,male,Young Adult,Alone,2.6390573296152584,M,S,Mr
180,0,3,male,Adult,Alone,0.0,M,S,Mr
181,0,3,female,Young Adult,Family,4.256321678298823,M,S,Miss
182,0,2,male,Young Adult,Alone,2.775708849576025,M,C,Mr
183,0,3,male,Child,Family,3.4777725458882283,M,S,Master
184,1,2,male,Infant,Family,3.6888794541139363,Other,S,Master
185,1,3,female,Infant,Family,3.1365805821413706,M,S,Miss
186,0,1,male,Young Adult,Alone,3.9318256327243257,Other,S,Mr
187,1,3,female,Young Adult,Family,2.803360380906535,M,Q,Mrs
188,1,1,male,Adult,Alone,3.3160025355989236,M,S,Mr
189,0,3,male,Adult,Family,2.803360380906535,M,Q,Mr
190,0,3,male,Adult,Alone,2.1855792552411137,M,S,Mr
191,1,2,female,Adult,Alone,2.6390573296152584,M,S,Mrs
192,0,2,male,Child,Alone,2.6390573296152584,M,S,Mr
193,1,3,female,Child,Family,2.180891922715322,M,S,Miss
194,1,2,male,Infant,Family,3.295836866004329,Other,S,Master
195,1,1,female,Adult,Alone,3.357621598945279,Other,C,Mrs
196,1,1,female,Adult,Alone,4.993969182787072,Other,C,Miss
197,0,3,male,Young Adult,Alone,2.169053700369523,M,Q,Mr
198,0,3,male,Adult,Family,2.2411563979973974,M,S,Mr
199,1,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
200,0,2,female,Young Adult,Alone,2.6390573296152584,M,S,Miss
201,0,3,male,Young Adult,Alone,2.3513752571634776,M,S,Mr
202,0,3,male,Young Adult,Family,4.256321678298823,M,S,Mr
203,0,3,male,Adult,Alone,2.0143428636837015,M,S,Mr
204,0,3,male,Adult,Alone,2.1071782966514356,M,C,Mr
205,1,3,male,Child,Alone,2.2027647577118348,M,S,Mr
206,0,3,female,Infant,Family,2.4390808375825834,Other,S,Miss
207,0,3,male,Adult,Family,2.8243506567983707,M,S,Mr
208,1,3,male,Young Adult,Alone,2.9850504252071306,M,C,Mr
209,1,3,female,Child,Alone,2.169053700369523,M,Q,Miss
210,1,1,male,Adult,Alone,3.4657359027997265,Other,C,Mr
211,0,3,male,Young Adult,Alone,2.0856720914304723,M,S,Mr
212,1,2,female,Adult,Alone,3.091042453358316,M,S,Miss
213,0,3,male,Young Adult,Alone,2.1102132003465894,M,S,Mr
214,0,2,male,Young Adult,Alone,2.6390573296152584,M,S,Mr
215,0,3,male,Young Adult,Family,2.169053700369523,M,Q,Mr
216,1,1,female,Adult,Family,4.738607824217808,Other,C,Miss
217,1,3,female,Young Adult,Alone,2.188856327665703,M,S,Miss
218,0,2,male,Adult,Family,3.332204510175204,M,S,Mr
219,1,1,female,Adult,Alone,4.347586575960343,Other,C,Miss
220,0,2,male,Young Adult,Alone,2.4423470353692043,M,S,Mr
221,1,3,male,Child,Alone,2.2027647577118348,M,S,Mr
222,0,2,male,Young Adult,Alone,2.6390573296152584,M,S,Mr
223,0,3,male,Adult,Alone,2.2027647577118348,M,S,Mr
224,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
225,1,1,male,Adult,Family,4.51085950651685,Other,S,Mr
226,0,3,male,Young Adult,Alone,2.336986519711378,M,S,Mr
227,1,2,male,Child,Alone,2.4423470353692043,M,S,Mr
228,0,3,male,Young Adult,Alone,2.1102132003465894,M,S,Mr
229,0,2,male,Child,Alone,2.6390573296152584,M,S,Mr
230,0,3,female,Young Adult,Family,3.275887339030031,M,S,Miss
231,1,1,female,Adult,Family,4.436455632600354,Other,S,Mrs
232,0,3,male,Young Adult,Alone,2.1719067693519296,M,S,Mr
233,0,2,male,Adult,Alone,2.6741486494265287,M,S,Mr
234,1,3,female,Infant,Family,3.4777725458882283,M,S,Miss
235,0,2,male,Young Adult,Alone,2.4423470353692043,M,S,Mr
236,0,3,female,Young Adult,Alone,2.145931282948669,M,S,Miss
237,0,2,male,Adult,Family,3.295836866004329,M,S,Mr
238,1,2,female,Child,Family,3.305053521109253,M,S,Miss
239,0,2,male,Child,Alone,2.4423470353692043,M,S,Mr
240,0,2,male,Adult,Alone,2.5858825671280026,M,S,Mr
241,0,3,female,Young Adult,Family,2.737880811060884,M,C,Miss
242,1,3,female,Young Adult,Family,2.803360380906535,M,Q,Miss
243,0,2,male,Young Adult,Alone,2.4423470353692043,M,S,Mr
244,0,3,male,Young Adult,Alone,2.094945728215801,M,S,Mr
245,0,3,male,Young Adult,Alone,2.1071782966514356,M,C,Mr
246,0,1,male,Adult,Family,4.51085950651685,Other,Q,Other
247,0,3,female,Young Adult,Alone,2.1719067693519296,M,S,Miss
248,1,2,female,Young Adult,Family,2.740840023925201,M,S,Mrs
249,1,1,male,Adult,Family,3.9806942251907276,Other,S,Mr
250,0,2,male,Adult,Family,3.295836866004329,M,S,Other
251,0,3,male,Young Adult,Alone,2.1102132003465894,M,S,Mr
252,0,3,female,Young Adult,Family,2.4390808375825834,Other,S,Mrs
253,0,1,male,Adult,Alone,3.3160025355989236,Other,S,Mr
254,0,3,male,Young Adult,Family,2.8390784635086144,M,S,Mr
255,0,3,female,Adult,Family,3.0545906305603445,M,S,Mrs
256,1,3,female,Young Adult,Family,2.7878344138303452,M,C,Mrs
257,1,1,female,Young Adult,Alone,4.384523514872469,M,C,Mrs
258,1,1,female,Young Adult,Alone,4.471638793363569,Other,S,Miss
259,1,1,female,Adult,Alone,6.240917354759096,M,C,Miss
260,1,2,female,Adult,Family,3.295836866004329,M,S,Mrs
261,0,3,male,Young Adult,Alone,2.169053700369523,M,Q,Mr
262,1,3,male,Infant,Family,3.4777725458882283,M,S,Master
263,0,1,male,Adult,Family,4.390118804571218,Other,S,Mr
264,0,1,male,Adult,Alone,0.0,Other,S,Mr
265,0,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
266,0,2,male,Adult,Alone,2.4423470353692043,M,S,Mr
267,0,3,male,Child,Family,3.705920919968788,M,S,Mr
268,1,3,male,Young Adult,Family,2.1719067693519296,M,S,Mr
269,1,1,female,Adult,Family,5.039951348430309,Other,S,Mrs
270,1,1,female,Adult,Alone,4.91730069488021,Other,S,Miss
271,0,1,male,Young Adult,Alone,3.4657359027997265,M,S,Mr
272,1,3,male,Young Adult,Alone,0.0,M,S,Mr
273,1,2,female,Adult,Family,3.0204248861443626,M,S,Mrs
274,0,1,male,Adult,Family,3.4242626545931514,Other,C,Mr
275,1,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
276,1,1,female,Adult,Family,4.368919865004903,Other,S,Miss
277,0,3,female,Adult,Alone,2.169053700369523,M,S,Miss
278,0,2,male,Young Adult,Alone,0.0,M,S,Mr
279,0,3,male,Child,Family,3.405355391810819,M,Q,Master
280,1,3,female,Adult,Family,3.056356895370426,M,S,Mrs
281,0,3,male,Adult,Alone,2.169053700369523,M,Q,Mr
282,0,3,male,Young Adult,Alone,2.180891922715322,M,S,Mr
283,0,3,male,Child,Alone,2.3513752571634776,M,S,Mr
284,1,3,male,Child,Alone,2.2027647577118348,M,S,Mr
285,0,1,male,Young Adult,Alone,3.295836866004329,Other,S,Mr
286,0,3,male,Adult,Alone,2.2682524139135403,M,C,Mr
287,1,3,male,Young Adult,Alone,2.3513752571634776,M,S,Mr
288,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
289,1,2,male,Adult,Alone,2.6390573296152584,M,S,Mr
290,1,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
291,1,1,female,Young Adult,Alone,4.380149874661021,M,S,Miss
292,1,1,female,Child,Family,4.5226490762785785,Other,C,Mrs
293,0,2,male,Adult,Alone,2.630088659632498,Other,C,Mr
294,0,3,female,Young Adult,Alone,2.2874714551839976,M,S,Miss
295,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
296,0,1,male,Young Adult,Alone,3.357621598945279,M,C,Mr
297,0,3,male,Young Adult,Alone,2.1076888046179385,M,C,Mr
298,0,1,female,Infant,Family,5.027492411162679,Other,S,Miss
299,1,1,male,Young Adult,Alone,3.449987545831587,Other,S,Mr
300,1,1,female,Adult,Family,5.515526544247129,Other,C,Mrs
301,1,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
302,1,3,male,Young Adult,Family,3.188416617383492,M,Q,Mr
303,0,3,male,Child,Alone,0.0,M,S,Mr
304,1,2,female,Young Adult,Alone,2.5915163848462583,Other,Q,Miss
305,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
306,1,1,male,Infant,Family,5.027492411162679,Other,S,Master
307,1,1,female,Young Adult,Alone,4.717456363787216,M,C,Miss
308,1,1,female,Child,Family,4.699570861409576,Other,C,Mrs
309,0,2,male,Young Adult,Family,3.2188758248682006,M,C,Mr
310,1,1,female,Young Adult,Alone,4.0592215752427645,Other,C,Miss
311,1,1,female,Young Adult,Alone,4.432699549165613,Other,C,Miss
312,1,1,female,Child,Family,5.5735788721243535,Other,C,Miss
313,0,2,female,Young Adult,Family,3.295836866004329,M,S,Mrs
314,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
315,0,2,male,Adult,Family,3.305053521109253,M,S,Mr
316,1,3,female,Young Adult,Alone,2.180891922715322,M,S,Miss
317,1,2,female,Young Adult,Family,3.295836866004329,M,S,Mrs
318,0,2,male,Adult,Alone,2.70805020110221,M,S,Other
319,1,1,female,Adult,Family,5.11118445372147,Other,S,Miss
320,1,1,female,Adult,Family,4.908971640319756,Other,C,Mrs
321,0,3,male,Young Adult,Alone,2.1102132003465894,M,S,Mr
322,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
323,1,2,female,Young Adult,Alone,2.5915163848462583,M,Q,Miss
324,1,2,female,Young Adult,Family,3.4011973816621555,M,S,Mrs
325,0,3,male,Young Adult,Family,4.256321678298823,M,S,Mr
326,1,1,female,Adult,Alone,4.91730069488021,Other,C,Miss
327,0,3,male,Adult,Alone,1.9792758428991135,M,S,Mr
328,1,2,female,Adult,Alone,2.6390573296152584,Other,S,Mrs
329,1,3,female,Adult,Family,3.0692150503137943,M,S,Mrs
330,1,1,female,Child,Family,4.077184839375167,Other,C,Miss
331,1,3,female,Young Adult,Family,3.188416617383492,M,Q,Miss
332,0,1,male,Adult,Alone,3.3843902633457743,Other,S,Mr
333,0,1,male,Adult,Family,5.039951348430309,Other,S,Mr
334,0,3,male,Child,Family,2.9444389791664403,M,S,Mr
335,1,1,female,Young Adult,Family,4.902678819257608,M,S,Mrs
336,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
337,0,1,male,Young Adult,Family,4.213607983048918,Other,S,Mr
338,1,1,female,Adult,Alone,4.908971640319756,Other,C,Miss
339,1,3,male,Adult,Alone,2.2027647577118348,M,S,Mr
340,0,1,male,Adult,Alone,3.597312260588446,Other,S,Mr
341,1,2,male,Infant,Family,3.295836866004329,Other,S,Master
342,1,1,female,Young Adult,Family,5.575949103146316,Other,S,Miss
343,0,2,male,Young Adult,Alone,2.6390573296152584,M,S,Mr
344,0,2,male,Young Adult,Alone,2.6390573296152584,M,S,Mr
345,0,2,male,Adult,Alone,2.6390573296152584,M,S,Mr
346,1,2,female,Young Adult,Alone,2.6390573296152584,Other,S,Miss
347,1,2,female,Adult,Alone,2.6390573296152584,M,S,Miss
348,1,3,female,Young Adult,Family,2.8390784635086144,M,S,Mrs
349,1,3,male,Infant,Family,2.8273136219290276,M,S,Master
350,0,3,male,Adult,Alone,2.2682524139135403,M,S,Mr
351,0,3,male,Young Adult,Alone,2.3248357019288655,M,S,Mr
352,0,1,male,Young Adult,Alone,3.58351893845611,Other,S,Mr
353,0,3,male,Child,Family,2.1076888046179385,M,C,Mr
354,0,3,male,Young Adult,Family,2.9338568698359038,M,S,Mr
355,0,3,male,Young Adult,Alone,2.1071782966514356,M,C,Mr
356,0,3,male,Young Adult,Alone,2.3513752571634776,M,S,Mr
357,1,1,female,Young Adult,Family,4.02535169073515,Other,S,Miss
358,0,2,female,Adult,Alone,2.6390573296152584,M,S,Miss
359,1,3,female,Young Adult,Alone,2.1837114628556327,M,Q,Miss
360,1,3,female,Young Adult,Alone,2.1837114628556327,M,Q,Miss
361,0,3,male,Adult,Family,3.3638415951183864,M,S,Mr
362,0,2,male,Young Adult,Family,3.357621598945279,M,C,Mr
363,0,3,female,Adult,Family,2.737880811060884,M,C,Mrs
364,0,3,male,Adult,Alone,2.0856720914304723,M,S,Mr
365,0,3,male,Young Adult,Family,2.803360380906535,M,Q,Mr
366,0,3,male,Young Adult,Alone,2.1102132003465894,M,S,Mr
367,1,1,female,Adult,Family,4.334017415487521,Other,C,Mrs
368,1,3,female,Young Adult,Alone,2.1076888046179385,M,C,Mrs
369,1,3,female,Young Adult,Alone,2.169053700369523,M,Q,Miss
370,1,1,female,Young Adult,Alone,4.252771798816619,Other,C,Other
371,1,1,male,Young Adult,Family,4.0332082470129285,Other,C,Mr
372,0,3,male,Child,Family,2.0143428636837015,M,S,Mr
373,0,3,male,Child,Alone,2.2027647577118348,M,S,Mr
374,0,1,male,Young Adult,Alone,4.91730069488021,M,C,Mr
375,0,3,female,Infant,Family,3.0944457464900235,M,S,Miss
376,1,1,female,Young Adult,Family,4.420896324687287,M,C,Mrs
377,1,3,female,Young Adult,Alone,2.1102132003465894,M,S,Miss
378,0,1,male,Young Adult,Family,5.358941988364472,Other,C,Mr
379,0,3,male,Child,Alone,1.6119347926326877,M,C,Mr
380,0,3,male,Child,Alone,2.1719067693519296,M,S,Mr
381,1,1,female,Adult,Alone,5.4316456135398825,M,C,Miss
382,1,3,female,Infant,Family,2.817902613071225,M,C,Miss
383,0,3,male,Adult,Alone,2.188856327665703,M,S,Mr
384,1,1,female,Adult,Family,3.970291913552122,M,S,Mrs
385,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
386,0,2,male,Child,Alone,4.310799125385514,M,S,Mr
387,0,3,male,Infant,Family,3.8691155044168695,M,S,Master
388,1,2,female,Adult,Alone,2.6390573296152584,M,S,Miss
389,0,3,male,Young Adult,Alone,2.1666737276227077,M,Q,Mr
390,1,2,female,Child,Alone,2.5649493574615367,M,C,Miss
391,1,1,male,Adult,Family,4.795790545596741,Other,S,Mr
392,1,3,male,Young Adult,Alone,2.174274334826008,M,S,Mr
393,0,3,male,Young Adult,Family,2.188856327665703,M,S,Mr
394,1,1,female,Young Adult,Family,4.738607824217808,Other,C,Miss
395,1,3,female,Young Adult,Family,2.8735646395797834,Other,S,Mrs
396,0,3,male,Young Adult,Alone,2.174274334826008,M,S,Mr
397,0,3,female,Adult,Alone,2.180891922715322,M,S,Miss
398,0,2,male,Adult,Alone,3.295836866004329,M,S,Mr
399,0,2,male,Young Adult,Alone,2.4423470353692043,M,S,Other
400,1,2,female,Young Adult,Alone,2.613739521630969,M,S,Mrs
401,1,3,male,Adult,Alone,2.188856327665703,M,S,Mr
402,0,3,male,Young Adult,Alone,2.2027647577118348,M,S,Mr
403,0,3,female,Young Adult,Family,2.3818582738885534,M,S,Miss
404,0,3,male,Young Adult,Family,2.8243506567983707,M,S,Mr
405,0,3,female,Child,Alone,2.2682524139135403,M,S,Miss
406,0,2,male,Adult,Family,3.091042453358316,M,S,Mr
407,0,3,male,Adult,Alone,2.169053700369523,M,S,Mr
408,1,2,male,Infant,Family,2.9831534913471307,M,S,Master
409,0,3,male,Young Adult,Alone,2.1719067693519296,M,S,Mr
410,0,3,female,Young Adult,Family,3.275887339030031,M,S,Miss
411,0,3,male,Young Adult,Alone,2.1855792552411137,M,S,Mr
412,0,3,male,Young Adult,Alone,2.061570298060867,M,Q,Mr
413,1,1,female,Adult,Family,4.51085950651685,Other,Q,Miss
414,0,2,male,Young Adult,Alone,0.0,M,S,Mr
415,1,3,male,Adult,Alone,2.188856327665703,M,S,Mr
416,0,3,female,Young Adult,Alone,2.2027647577118348,M,S,Mrs
417,1,2,female,Adult,Family,3.5115454388310208,M,S,Mrs
418,1,2,female,Child,Family,2.6390573296152584,M,S,Miss
